metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
ws_sessions,1700180197,1.000000,,,,,,,,,default,,101,,,ws://localhost:8080,my_tag=hello,
ws_connecting,1700180197,14.863700,,,,,,,,,default,,101,,,ws://localhost:8080,my_tag=hello,
ws_msgs_received,1700180197,1.000000,,,,,,,,,default,,101,,,ws://localhost:8080,my_tag=hello,
vus,1700180198,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180198,1.000000,,,,,,,,,,,,,,,,
vus,1700180199,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180199,1.000000,,,,,,,,,,,,,,,,
vus,1700180200,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180200,1.000000,,,,,,,,,,,,,,,,
vus,1700180201,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180201,1.000000,,,,,,,,,,,,,,,,
vus,1700180202,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180202,1.000000,,,,,,,,,,,,,,,,
vus,1700180203,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180203,1.000000,,,,,,,,,,,,,,,,
vus,1700180204,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180204,1.000000,,,,,,,,,,,,,,,,
vus,1700180205,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180205,1.000000,,,,,,,,,,,,,,,,
vus,1700180206,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180206,1.000000,,,,,,,,,,,,,,,,
vus,1700180207,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180207,1.000000,,,,,,,,,,,,,,,,
vus,1700180208,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180208,1.000000,,,,,,,,,,,,,,,,
vus,1700180209,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180209,1.000000,,,,,,,,,,,,,,,,
vus,1700180210,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180210,1.000000,,,,,,,,,,,,,,,,
vus,1700180211,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180211,1.000000,,,,,,,,,,,,,,,,
vus,1700180212,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180212,1.000000,,,,,,,,,,,,,,,,
vus,1700180213,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180213,1.000000,,,,,,,,,,,,,,,,
vus,1700180214,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180214,1.000000,,,,,,,,,,,,,,,,
vus,1700180215,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180215,1.000000,,,,,,,,,,,,,,,,
vus,1700180216,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180216,1.000000,,,,,,,,,,,,,,,,
vus,1700180217,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180217,1.000000,,,,,,,,,,,,,,,,
vus,1700180218,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180218,1.000000,,,,,,,,,,,,,,,,
vus,1700180219,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180219,1.000000,,,,,,,,,,,,,,,,
vus,1700180220,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180220,1.000000,,,,,,,,,,,,,,,,
vus,1700180221,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180221,1.000000,,,,,,,,,,,,,,,,
vus,1700180222,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180222,1.000000,,,,,,,,,,,,,,,,
vus,1700180223,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180223,1.000000,,,,,,,,,,,,,,,,
vus,1700180224,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180224,1.000000,,,,,,,,,,,,,,,,
vus,1700180225,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180225,1.000000,,,,,,,,,,,,,,,,
vus,1700180226,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180226,1.000000,,,,,,,,,,,,,,,,
vus,1700180227,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180227,1.000000,,,,,,,,,,,,,,,,
vus,1700180228,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180228,1.000000,,,,,,,,,,,,,,,,
vus,1700180229,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180229,1.000000,,,,,,,,,,,,,,,,
vus,1700180230,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180230,1.000000,,,,,,,,,,,,,,,,
vus,1700180231,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180231,1.000000,,,,,,,,,,,,,,,,
vus,1700180232,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180232,1.000000,,,,,,,,,,,,,,,,
vus,1700180233,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180233,1.000000,,,,,,,,,,,,,,,,
vus,1700180234,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180234,1.000000,,,,,,,,,,,,,,,,
vus,1700180235,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180235,1.000000,,,,,,,,,,,,,,,,
vus,1700180236,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180236,1.000000,,,,,,,,,,,,,,,,
vus,1700180237,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180237,1.000000,,,,,,,,,,,,,,,,
vus,1700180238,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180238,1.000000,,,,,,,,,,,,,,,,
vus,1700180239,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180239,1.000000,,,,,,,,,,,,,,,,
vus,1700180240,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180240,1.000000,,,,,,,,,,,,,,,,
vus,1700180241,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180241,1.000000,,,,,,,,,,,,,,,,
vus,1700180242,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180242,1.000000,,,,,,,,,,,,,,,,
vus,1700180243,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180243,1.000000,,,,,,,,,,,,,,,,
vus,1700180244,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180244,1.000000,,,,,,,,,,,,,,,,
vus,1700180245,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180245,1.000000,,,,,,,,,,,,,,,,
vus,1700180246,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180246,1.000000,,,,,,,,,,,,,,,,
vus,1700180247,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180247,1.000000,,,,,,,,,,,,,,,,
vus,1700180248,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180248,1.000000,,,,,,,,,,,,,,,,
vus,1700180249,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180249,1.000000,,,,,,,,,,,,,,,,
vus,1700180250,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180250,1.000000,,,,,,,,,,,,,,,,
vus,1700180251,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180251,1.000000,,,,,,,,,,,,,,,,
vus,1700180252,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180252,1.000000,,,,,,,,,,,,,,,,
vus,1700180253,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180253,1.000000,,,,,,,,,,,,,,,,
vus,1700180254,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180254,1.000000,,,,,,,,,,,,,,,,
vus,1700180255,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180255,1.000000,,,,,,,,,,,,,,,,
vus,1700180256,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180256,1.000000,,,,,,,,,,,,,,,,
vus,1700180257,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180257,1.000000,,,,,,,,,,,,,,,,
vus,1700180258,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180258,1.000000,,,,,,,,,,,,,,,,
vus,1700180259,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180259,1.000000,,,,,,,,,,,,,,,,
vus,1700180260,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180260,1.000000,,,,,,,,,,,,,,,,
vus,1700180261,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180261,1.000000,,,,,,,,,,,,,,,,
vus,1700180262,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180262,1.000000,,,,,,,,,,,,,,,,
vus,1700180263,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180263,1.000000,,,,,,,,,,,,,,,,
vus,1700180264,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180264,1.000000,,,,,,,,,,,,,,,,
vus,1700180265,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180265,1.000000,,,,,,,,,,,,,,,,
vus,1700180266,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180266,1.000000,,,,,,,,,,,,,,,,
vus,1700180267,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180267,1.000000,,,,,,,,,,,,,,,,
vus,1700180268,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180268,1.000000,,,,,,,,,,,,,,,,
vus,1700180269,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180269,1.000000,,,,,,,,,,,,,,,,
vus,1700180270,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180270,1.000000,,,,,,,,,,,,,,,,
vus,1700180271,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180271,1.000000,,,,,,,,,,,,,,,,
vus,1700180272,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180272,1.000000,,,,,,,,,,,,,,,,
vus,1700180273,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180273,1.000000,,,,,,,,,,,,,,,,
vus,1700180274,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180274,1.000000,,,,,,,,,,,,,,,,
vus,1700180275,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180275,1.000000,,,,,,,,,,,,,,,,
vus,1700180276,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180276,1.000000,,,,,,,,,,,,,,,,
vus,1700180277,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180277,1.000000,,,,,,,,,,,,,,,,
vus,1700180278,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180278,1.000000,,,,,,,,,,,,,,,,
vus,1700180279,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180279,1.000000,,,,,,,,,,,,,,,,
vus,1700180280,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180280,1.000000,,,,,,,,,,,,,,,,
vus,1700180281,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180281,1.000000,,,,,,,,,,,,,,,,
vus,1700180282,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180282,1.000000,,,,,,,,,,,,,,,,
vus,1700180283,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180283,1.000000,,,,,,,,,,,,,,,,
vus,1700180284,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180284,1.000000,,,,,,,,,,,,,,,,
vus,1700180285,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180285,1.000000,,,,,,,,,,,,,,,,
vus,1700180286,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180286,1.000000,,,,,,,,,,,,,,,,
vus,1700180287,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180287,1.000000,,,,,,,,,,,,,,,,
vus,1700180288,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180288,1.000000,,,,,,,,,,,,,,,,
